race_source_id,date,course,race_type,subtype,distance,distance_yards,horse,finish_position,or,pooled_rating,subtype_rating,subtype_same_day_rating,subtype_historical_rating,pooled_standard,subtype_standard,pooled_sample,subtype_sample
876415,2025-08-30,Newton Abbot,maiden,hurdle,2m 167y,3687,Lynsey Larue,4,,-120.93,-120.93,-,-136.35,246.65,246.65,35,27
890412,2025-11-20,Wincanton,handicap,chase,1m 7f 149y,3449,Authoceltic,1,108,319.05,319.05,-,298.63,250.39,250.39,2,2
845374,2025-02-26,Bangor-on-Dee,maiden,hurdle,2m 3f 123y,4303,Steal The Moves,3,,-118.36,-118.36,-,-13.92,287.48,287.48,20,20
843753,2025-02-15,Wincanton,handicap,hurdle,2m 5f 82y,4702,Les's Jersey Royal,2,88,-118.23,-118.23,-,-89.72,310.06,310.06,5,5
837304,2025-01-05,Chepstow,handicap,chase,3m 2f 54y,5774,Fairlawn Flyer,7,105,-118.15,-118.15,-,-,412.81,412.81,2,2
882335,2025-10-03,Hexham,handicap,hurdle,2m 7f 63y,5123,Zwicky,3,99,-117.98,-117.98,-,-109.70,373.06,373.06,11,11
841726,2025-01-30,Wincanton,novice,hurdle,2m 5f 82y,4702,Only Gossip,3,,-117.86,-117.86,-,15.40,310.06,310.06,5,5
889604,2025-11-16,Fontwell,handicap,hurdle,2m 5f 164y,4784,Sawpit Samantha,10,73,-117.65,-117.65,-,-104.15,329.30,329.30,19,19
865308,2025-06-29,Cartmel,handicap,chase,3m 1f 107y,5607,Pilgrims King,7,92,-117.33,-117.33,-,-84.93,393.51,393.51,7,7
882335,2025-10-03,Hexham,handicap,hurdle,2m 7f 63y,5123,Lelantos,2,96,-117.23,-117.23,-,-108.95,373.06,373.06,11,11
845777,2025-02-28,Ffos Las,handicap,hurdle,2m 4f,4400,Luna De Castana,6,99,-116.51,-116.51,23.96,-1.99,303.58,303.58,26,26
887077,2025-10-30,Stratford,,nh_flat,2m 70y,3590,Amhranai,13,,-116.21,-136.81,-,-112.99,235.51,231.81,28,4
882335,2025-10-03,Hexham,handicap,hurdle,2m 7f 63y,5123,Robert d'Ores,1,90,-115.48,-115.48,-,-107.20,373.06,373.06,11,11
842701,2025-02-08,Uttoxeter,handicap,hurdle,2m 3f 207y,4387,Mon Kaplais,7,100,-115.32,-115.32,-,-74.38,301.73,301.73,31,31
887398,2025-11-01,Wetherby,chase,chase,3m 45y,5325,Djelo,1,162,315.30,315.30,-,287.34,395.28,395.28,13,13
890412,2025-11-20,Wincanton,handicap,chase,1m 7f 149y,3449,Star Of Affinity,2,111,315.30,315.30,-,294.88,250.39,250.39,2,2
890412,2025-11-20,Wincanton,handicap,chase,1m 7f 149y,3449,Two To Tango,3,105,314.80,314.80,-,294.38,250.39,250.39,2,2
842721,2025-02-09,Chepstow,handicap,hurdle,2m 7f 131y,5191,Chauffeur Driven,8,91,-114.77,-138.59,-28.37,-48.41,361.16,356.32,20,11
839098,2025-01-11,Ffos Las,handicap,hurdle,2m 4f,4400,Presenting Nelly,11,104,-114.73,-114.73,-,-46.05,303.58,303.58,26,26
887398,2025-11-01,Wetherby,chase,chase,3m 45y,5325,Pic D'Orhy,2,162,314.30,314.30,-,286.34,395.28,395.28,13,13
843759,2025-02-15,Wincanton,handicap,hurdle,3m 150y,5430,Copshill Lad,5,109,-113.60,-113.60,-,-57.94,372.49,372.49,6,6
845774,2025-02-28,Ffos Las,handicap,hurdle,2m 7f 191y,5251,River Voyage,1,91,-113.04,-113.04,50.51,14.67,365.08,365.08,9,9
836801,2025-01-01,Fakenham,handicap,hurdle,2m 7f 95y,5155,Extra Cover,4,79,-113.02,-113.02,-,-39.97,364.05,364.05,7,7
845189,2025-02-21,Warwick,handicap,hurdle,3m 2f,5720,Just Four Fame,9,80,-113.00,-113.00,-,-52.33,379.72,379.72,5,5
836801,2025-01-01,Fakenham,handicap,hurdle,2m 7f 95y,5155,Regally Blonde,3,79,-112.52,-112.52,-,-39.47,364.05,364.05,7,7
885236,2025-10-20,Plumpton,handicap,chase,3m 1f 157y,5657,Blackacre,2,80,-111.36,-111.36,-,-136.71,400.80,400.80,3,3
